X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0.402099,2.26377
0.402102,2.72395
0.402105,3.20568
0.402108,3.63591
0.402112,3.94539
0.402115,4.08432
0.402118,4.03343
0.402121,3.8042
0.402124,3.43288
0.402127,2.97363
0.40213,2.49285
0.402133,2.06358
0.402137,1.75507
0.40214,1.61709
0.402143,1.66893
0.402146,1.89909
0.402149,2.27134
0.402152,2.73153
0.402155,3.21326
0.402158,3.64348
0.402162,3.95296
0.402165,4.09189
0.402168,4.041
0.402171,3.81177
0.402174,3.44045
0.402177,2.9812
0.40218,2.50042
0.402183,2.07115
0.402187,1.76263
0.40219,1.62466
0.402193,1.67649
0.402196,1.90665
0.402199,2.27891
0.402202,2.7391
0.402205,3.22082
0.402208,3.65104
0.402212,3.96052
0.402215,4.09945
0.402218,4.04856
0.402221,3.81933
0.402224,3.44801
0.402227,2.98876
0.40223,2.50797
0.402233,2.07871
0.402237,1.77019
0.40224,1.63221
0.402243,1.68405
0.402246,1.91421
0.402249,2.28646
0.402252,2.74665
0.402255,3.22837
0.402258,3.65859
0.402262,3.96807
0.402265,4.107
0.402268,4.05611
0.402271,3.82688
0.402274,3.45555
0.402277,2.9963
0.40228,2.51552
0.402283,2.08625
0.402287,1.77773
0.40229,1.63975
0.402293,1.69158
0.402296,1.92174
0.402299,2.294
0.402302,2.75418
0.402305,3.23591
0.402308,3.66613
0.402312,3.9756
0.402315,4.11453
0.402318,4.06364
0.402321,3.83441
0.402324,3.46308
0.402327,3.00383
0.40233,2.52304
0.402333,2.09378
0.402337,1.78526
0.40234,1.64728
0.402343,1.69911
0.402346,1.92927
0.402349,2.30152
0.402352,2.76171
0.402355,3.24343
0.402358,3.67365
0.402362,3.98312
0.402365,4.12205
0.402368,4.07116
0.402371,3.84193
0.402374,3.4706
0.402377,3.01134
0.40238,2.53056
0.402383,2.10129
0.402387,1.79277
0.40239,1.65479
0.402393,1.70662
0.402396,1.93678
0.402399,2.30903
0.402402,2.76921
0.402405,3.25094
0.402408,3.68116
0.402412,3.99063
0.402415,4.12955
0.402418,4.07866
0.402421,3.84943
0.402424,3.4781
0.402427,3.01885
0.40243,2.53806
0.402433,2.10879
0.402437,1.80027
0.40244,1.66229
0.402443,1.71412
0.402446,1.94427
0.402449,2.31652
0.402452,2.77671
0.402455,3.25843
0.402458,3.68865
0.402462,3.99812
0.402465,4.13704
0.402468,4.08615
0.402471,3.85692
0.402474,3.48559
0.402477,3.02633
0.40248,2.54554
0.402483,2.11627
0.402487,1.80775
0.40249,1.66977
0.402493,1.7216
0.402496,1.95176
0.402499,2.324
0.402502,2.78419
0.402505,3.26591
0.402508,3.69612
0.402512,4.0056
0.402515,4.14452
0.402518,4.09362
0.402521,3.86439
0.402524,3.49306
0.402527,3.0338
0.40253,2.55302
0.402533,2.12374
0.402537,1.81522
0.40254,1.67724
0.402543,1.72907
0.402546,1.95922
0.402549,2.33147
0.402552,2.79165
0.402555,3.27337
0.402558,3.70359
0.402562,4.01306
0.402565,4.15198
0.402568,4.10108
0.402571,3.87185
0.402574,3.50052
0.402577,3.04126
0.40258,2.56047
0.402583,2.1312
0.402587,1.82267
0.40259,1.68469
0.402593,1.73652
0.402596,1.96667
0.402599,2.33892
0.402602,2.7991
0.402605,3.28082
0.402608,3.71103
0.402612,4.0205
0.402615,4.15942
0.402618,4.10853
0.402621,3.87929
0.402624,3.50796
0.402627,3.0487
0.40263,2.56791
0.402633,2.13864
0.402637,1.83011
0.40264,1.69213
0.402643,1.74395
0.402646,1.97411
0.402649,2.34635
0.402652,2.80653
0.402655,3.28825
0.402658,3.71846
0.402662,4.02793
0.402665,4.16685
0.402668,4.11595
0.402671,3.88672
0.402674,3.51539
0.402677,3.05612
0.40268,2.57533
0.402683,2.14606
0.402687,1.83753
0.40269,1.69955
0.402693,1.75137
0.402696,1.98152
0.402699,2.35377
0.402702,2.81395
0.402705,3.29566
0.402708,3.72588
0.402712,4.03534
0.402715,4.17426
0.402718,4.12337
0.402721,3.89413
0.402724,3.5228
0.402727,3.06353
0.40273,2.58274
0.402733,2.15346
0.402737,1.84494
0.40274,1.70695
0.402743,1.75877
0.402746,1.98893
0.402749,2.36117
0.402752,2.82135
0.402755,3.30306
0.402758,3.73327
0.402762,4.04274
0.402765,4.18166
0.402768,4.13076
0.402771,3.90152
0.402774,3.53019
0.402777,3.07092
0.40278,2.59013
0.402783,2.16085
0.402787,1.85233
0.40279,1.71434
0.402793,1.76616
0.402796,1.99631
0.402799,2.36855
0.402802,2.82873
0.402805,3.31045
0.402808,3.74066
0.402812,4.05012
0.402815,4.18904
0.402818,4.13814
0.402821,3.9089
0.402824,3.53756
0.402827,3.0783
0.40283,2.5975
0.402833,2.16823
0.402837,1.8597
0.40284,1.72171
0.402843,1.77353
0.402846,2.00368
0.402849,2.37592
0.402852,2.8361
0.402855,3.31781
0.402858,3.74802
0.402862,4.05748
0.402865,4.1964
0.402868,4.1455
0.402871,3.91626
0.402874,3.54492
0.402877,3.08566
0.40288,2.60486
0.402883,2.17558
0.402887,1.86705
0.40289,1.72906
0.402893,1.78088
0.402896,2.01103
0.402899,2.38327
0.402902,2.84345
0.402905,3.32516
0.402908,3.75537
0.402912,4.06483
0.402915,4.20375
0.402918,4.15284
0.402921,3.9236
0.402924,3.55226
0.402927,3.093
0.40293,2.6122
0.402933,2.18292
0.402937,1.87439
0.40294,1.7364
0.402943,1.78822
0.402946,2.01836
0.402949,2.3906
0.402952,2.85078
0.402955,3.33249
0.402958,3.7627
0.402962,4.07216
0.402965,4.21107
0.402968,4.16017
0.402971,3.93093
0.402974,3.55959
0.402977,3.10032
0.40298,2.61952
0.402983,2.19024
0.402987,1.88171
0.40299,1.74372
0.402993,1.79553
0.402996,2.02568
0.402999,2.39792
0.403002,2.85809
0.403005,3.3398
0.403008,3.77001
0.403012,4.07947
0.403015,4.21838
0.403018,4.16748
0.403021,3.93823
0.403024,3.56689
0.403027,3.10762
0.40303,2.62682
0.403033,2.19754
0.403037,1.88901
0.40304,1.75102
0.403043,1.80283
0.403046,2.03298
0.403049,2.40522
0.403052,2.86539
0.403055,3.3471
0.403058,3.7773
0.403062,4.08676
0.403065,4.22567
0.403068,4.17477
0.403071,3.94552
0.403074,3.57418
0.403077,3.11491
0.40308,2.63411
0.403083,2.20483
0.403087,1.89629
0.40309,1.7583
0.403093,1.81011
0.403096,2.04026
0.403099,2.41249
0.403102,2.87266
0.403105,3.35437
0.403108,3.78457
0.403112,4.09403
0.403115,4.23294
0.403118,4.18204
0.403121,3.95279
0.403124,3.58145
0.403127,3.12218
0.40313,2.64138
0.403133,2.21209
0.403137,1.90356
0.40314,1.76556
0.403143,1.81738
0.403146,2.04752
0.403149,2.41975
0.403152,2.87992
0.403155,3.36163
0.403158,3.79183
0.403162,4.10129
0.403165,4.2402
0.403168,4.18929
0.403171,3.96004
0.403174,3.5887
0.403177,3.12943
0.40318,2.64862
0.403183,2.21934
0.403187,1.9108
0.40319,1.77281
0.403193,1.82462
0.403196,2.05476
0.403199,2.42699
0.403202,2.88716
0.403205,3.36887
0.403208,3.79907
0.403212,4.10852
0.403215,4.24743
0.403218,4.19652
0.403221,3.96728
0.403224,3.59593
0.403227,3.13666
0.40323,2.65585
0.403233,2.22657
0.403237,1.91803
0.40324,1.78003
0.403243,1.83184
0.403246,2.06198
0.403249,2.43421
0.403252,2.89438
0.403255,3.37609
0.403258,3.80629
0.403262,4.11574
0.403265,4.25465
0.403268,4.20374
0.403271,3.97449
0.403274,3.60314
0.403277,3.14387
0.40328,2.66306
0.403283,2.23377
0.403287,1.92523
0.40329,1.78724
0.403293,1.83905
0.403296,2.06918
0.403299,2.44142
0.403302,2.90158
0.403305,3.38329
0.403308,3.81348
0.403312,4.12294
0.403315,4.26184
0.403318,4.21093
0.403321,3.98168
0.403324,3.61033
0.403327,3.15106
0.40333,2.67025
0.403333,2.24096
0.403337,1.93242
0.40334,1.79442
0.403343,1.84623
0.403346,2.07637
0.403349,2.4486
0.403352,2.90876
0.403355,3.39046
0.403358,3.82066
0.403362,4.13011
0.403365,4.26902
0.403368,4.21811
0.403371,3.98885
0.403374,3.61751
0.403377,3.15823
0.40338,2.67742
0.403383,2.24813
0.403387,1.93959
0.40339,1.80159
0.403393,1.85339
0.403396,2.08353
0.403399,2.45576
0.403402,2.91592
0.403405,3.39762
0.403408,3.82782
0.403412,4.13727
0.403415,4.27617
0.403418,4.22526
0.403421,3.99601
0.403424,3.62466
0.403427,3.16538
0.40343,2.68457
0.403433,2.25528
0.403437,1.94673
0.40344,1.80873
0.403443,1.86054
0.403446,2.09067
0.403449,2.4629
0.403452,2.92306
0.403455,3.40476
0.403458,3.83496
0.403462,4.14441
0.403465,4.28331
0.403468,4.23239
0.403471,4.00314
0.403474,3.63179
0.403477,3.17251
0.40348,2.6917
0.403483,2.26241
0.403487,1.95386
0.40349,1.81586
0.403493,1.86766
0.403496,2.0978
0.403499,2.47002
0.403502,2.93018
0.403505,3.41188
0.403508,3.84207
0.403512,4.15152
0.403515,4.29042
0.403518,4.23951
0.403521,4.01025
0.403524,3.6389
0.403527,3.17962
0.40353,2.69881
0.403533,2.26951
0.403537,1.96096
0.40354,1.82296
0.403543,1.87476
0.403546,2.1049
0.403549,2.47712
0.403552,2.93728
0.403555,3.41898
0.403558,3.84917
0.403562,4.15862
0.403565,4.29752
0.403568,4.2466
0.403571,4.01734
0.403574,3.64599
0.403577,3.1867
0.40358,2.70589
0.403583,2.2766
0.403587,1.96805
0.40359,1.83004
0.403593,1.88184
0.403596,2.11198
0.403599,2.4842
0.403602,2.94436
0.403605,3.42605
0.403608,3.85624
0.403612,4.16569
0.403615,4.30459
0.403618,4.25367
0.403621,4.02441
0.403624,3.65306
0.403627,3.19377
0.40363,2.71296
0.403633,2.28366
0.403637,1.97511
0.40364,1.8371
0.403643,1.8889
0.403646,2.11903
0.403649,2.49126
0.403652,2.95141
0.403655,3.43311
0.403658,3.8633
0.403662,4.17274
0.403665,4.31164
0.403668,4.26072
0.403671,4.03146
0.403674,3.6601
0.403677,3.20082
0.40368,2.72
0.403683,2.2907
0.403687,1.98215
0.40369,1.84414
0.403693,1.89594
0.403696,2.12607
0.403699,2.49829
0.403702,2.95845
0.403705,3.44014
0.403708,3.87033
0.403712,4.17977
0.403715,4.31867
0.403718,4.26774
0.403721,4.03848
0.403724,3.66713
0.403727,3.20784
0.40373,2.72702
0.403733,2.29772
0.403737,1.98917
0.40374,1.85116
0.403743,1.90296
0.403746,2.13309
0.403749,2.50531
0.403752,2.96546
0.403755,3.44715
0.403758,3.87734
0.403762,4.18678
0.403765,4.32567
0.403768,4.27475
0.403771,4.04549
0.403774,3.67413
0.403777,3.21484
0.40378,2.73402
0.403783,2.30472
0.403787,1.99617
0.40379,1.85815
0.403793,1.90995
0.403796,2.14008
0.403799,2.5123
0.403802,2.97245
0.403805,3.45414
0.403808,3.88432
0.403812,4.19376
0.403815,4.33266
0.403818,4.28173
0.403821,4.05247
0.403824,3.68111
0.403827,3.22182
0.40383,2.741
0.403833,2.3117
0.403837,2.00314
0.40384,1.86513
0.403843,1.91692
0.403846,2.14705
0.403849,2.51926
0.403852,2.97941
0.403855,3.4611
0.403858,3.89129
0.403862,4.20073
0.403865,4.33962
0.403868,4.28869
0.403871,4.05943
0.403874,3.68806
0.403877,3.22877
0.40388,2.74795
0.403883,2.31865
0.403887,2.01009
0.40389,1.87208
0.403893,1.92387
0.403896,2.15399
0.403899,2.52621
0.403902,2.98636
0.403905,3.46805
0.403908,3.89823
0.403912,4.20767
0.403915,4.34656
0.403918,4.29563
0.403921,4.06636
0.403924,3.695
0.403927,3.2357
0.40393,2.75488
0.403933,2.32558
0.403937,2.01702
0.40394,1.879
0.403943,1.9308
0.403946,2.16092
0.403949,2.53313
0.403952,2.99328
0.403955,3.47497
0.403958,3.90515
0.403962,4.21458
0.403965,4.35347
0.403968,4.30254
0.403971,4.07327
0.403974,3.70191
0.403977,3.24261
0.40398,2.76179
0.403983,2.33248
0.403987,2.02392
0.40399,1.88591
0.403993,1.9377
0.403996,2.16782
0.403999,2.54003
0.404002,3.00018
0.404005,3.48186
0.404008,3.91204
0.404012,4.22147
0.404015,4.36036
0.404018,4.30943
0.404021,4.08016
0.404024,3.70879
