X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
1.60333,4.9698
1.60333,4.38153
1.60334,3.12621
1.60335,1.39496
1.60335,-0.548671
1.60336,-2.40877
1.60336,-3.90215
1.60337,-4.80147
1.60338,-4.9698
1.60338,-4.38153
1.60339,-3.12621
1.6034,-1.39496
1.6034,0.548671
1.60341,2.40877
1.60341,3.90215
1.60342,4.80147
1.60343,4.9698
1.60343,4.38153
1.60344,3.12621
1.60345,1.39496
1.60345,-0.548671
1.60346,-2.40877
1.60346,-3.90215
1.60347,-4.80147
1.60348,-4.9698
1.60348,-4.38153
1.60349,-3.12621
1.6035,-1.39496
1.6035,0.548671
1.60351,2.40877
1.60351,3.90215
1.60352,4.80147
1.60353,4.9698
1.60353,4.38153
1.60354,3.12621
1.60355,1.39496
1.60355,-0.548671
1.60356,-2.40877
1.60356,-3.90215
1.60357,-4.80147
1.60358,-4.9698
1.60358,-4.38153
1.60359,-3.12621
1.6036,-1.39496
1.6036,0.548671
1.60361,2.40877
1.60361,3.90215
1.60362,4.80147
1.60363,4.9698
1.60363,4.38153
1.60364,3.12621
1.60365,1.39496
1.60365,-0.548671
1.60366,-2.40877
1.60366,-3.90215
1.60367,-4.80147
1.60368,-4.9698
1.60368,-4.38153
1.60369,-3.12621
1.6037,-1.39496
1.6037,0.548671
1.60371,2.40877
1.60371,3.90215
1.60372,4.80147
1.60373,4.9698
1.60373,4.38153
1.60374,3.12621
1.60375,1.39496
1.60375,-0.548671
1.60376,-2.40877
1.60376,-3.90215
1.60377,-4.80147
1.60378,-4.9698
1.60378,-4.38153
1.60379,-3.12621
1.6038,-1.39496
1.6038,0.548671
1.60381,2.40877
1.60381,3.90215
1.60382,4.80147
1.60383,4.9698
1.60383,4.38153
1.60384,3.12621
1.60385,1.39496
1.60385,-0.548671
1.60386,-2.40877
1.60386,-3.90215
1.60387,-4.80147
1.60388,-4.9698
1.60388,-4.38153
1.60389,-3.12621
1.6039,-1.39496
1.6039,0.548671
1.60391,2.40877
1.60391,3.90215
1.60392,4.80147
1.60393,4.9698
1.60393,4.38153
1.60394,3.12621
1.60395,1.39496
1.60395,-0.548671
1.60396,-2.40877
1.60396,-3.90215
1.60397,-4.80147
1.60398,-4.9698
1.60398,-4.38153
1.60399,-3.12621
1.604,-1.39496
1.604,0.548671
1.60401,2.40877
1.60401,3.90215
1.60402,4.80147
1.60403,4.9698
1.60403,4.38153
1.60404,3.12621
1.60405,1.39496
1.60405,-0.548671
1.60406,-2.40877
1.60406,-3.90215
1.60407,-4.80147
1.60408,-4.9698
1.60408,-4.38153
1.60409,-3.12621
1.6041,-1.39496
1.6041,0.548671
1.60411,2.40877
1.60411,3.90215
1.60412,4.80147
1.60413,4.9698
1.60413,4.38153
1.60414,3.12621
1.60415,1.39496
1.60415,-0.548671
1.60416,-2.40877
1.60416,-3.90215
1.60417,-4.80147
1.60418,-4.9698
1.60418,-4.38153
1.60419,-3.12621
1.6042,-1.39496
1.6042,0.548671
1.60421,2.40877
1.60421,3.90215
1.60422,4.80147
1.60423,4.9698
1.60423,4.38153
1.60424,3.12621
1.60425,1.39496
1.60425,-0.548671
1.60426,-2.40877
1.60426,-3.90215
1.60427,-4.80147
1.60428,-4.9698
1.60428,-4.38153
1.60429,-3.12621
1.6043,-1.39496
1.6043,0.548671
1.60431,2.40877
1.60431,3.90215
1.60432,4.80147
1.60433,4.9698
1.60433,4.38153
1.60434,3.12621
1.60435,1.39496
1.60435,-0.548671
1.60436,-2.40877
1.60436,-3.90215
1.60437,-4.80147
1.60438,-4.9698
1.60438,-4.38153
1.60439,-3.12621
1.6044,-1.39496
1.6044,0.548671
1.60441,2.40877
1.60441,3.90215
1.60442,4.80147
1.60443,4.9698
1.60443,4.38153
1.60444,3.12621
1.60445,1.39496
1.60445,-0.548671
1.60446,-2.40877
1.60446,-3.90215
1.60447,-4.80147
1.60448,-4.9698
1.60448,-4.38153
1.60449,-3.12621
1.6045,-1.39496
1.6045,0.548671
1.60451,2.40877
1.60451,3.90215
1.60452,4.80147
1.60453,4.9698
1.60453,4.38153
1.60454,3.12621
1.60455,1.39496
1.60455,-0.548671
1.60456,-2.40877
1.60456,-3.90215
1.60457,-4.80147
1.60458,-4.9698
1.60458,-4.38153
1.60459,-3.12621
1.6046,-1.39496
1.6046,0.548671
1.60461,2.40877
1.60461,3.90215
1.60462,4.80147
1.60463,4.9698
1.60463,4.38153
1.60464,3.12621
1.60465,1.39496
1.60465,-0.548671
