X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0165857,-0.42776,,0.0165857,0.0300806
0.0165863,-0.741103,,0.0165863,0.046961
0.016587,-0.94162,,0.016587,0.0568365
0.0165876,-0.998784,,0.0165876,0.058205
0.0165882,-0.903892,,0.0165882,0.0508626
0.0165888,-0.671391,,0.0165888,0.0359305
0.0165895,-0.336677,,0.0165895,0.0156792
0.0165901,0.0492939,,0.0165901,-0.00681434
0.0165907,0.42776,,0.0165907,-0.0281289
0.0165913,0.741103,,0.0165913,-0.0450164
0.016592,0.94162,,0.016592,-0.0549
0.0165926,0.998784,,0.0165926,-0.0562728
0.0165932,0.903892,,0.0165932,-0.0489286
0.0165938,0.671391,,0.0165938,-0.0339894
0.0165945,0.336677,,0.0165945,-0.0137299
0.0165951,-0.0492939,,0.0165951,0.00876798
0.0165957,-0.42776,,0.0165957,0.0300806
0.0165963,-0.741103,,0.0165963,0.046961
0.016597,-0.94162,,0.016597,0.0568365
0.0165976,-0.998784,,0.0165976,0.058205
0.0165982,-0.903892,,0.0165982,0.0508626
0.0165988,-0.671391,,0.0165988,0.0359305
0.0165995,-0.336677,,0.0165995,0.0156792
0.0166001,0.0492939,,0.0166001,-0.00681434
0.0166007,0.42776,,0.0166007,-0.0281289
0.0166013,0.741103,,0.0166013,-0.0450164
0.016602,0.94162,,0.016602,-0.0549
0.0166026,0.998784,,0.0166026,-0.0562728
0.0166032,0.903892,,0.0166032,-0.0489286
0.0166038,0.671391,,0.0166038,-0.0339894
0.0166045,0.336677,,0.0166045,-0.0137299
0.0166051,-0.0492939,,0.0166051,0.00876798
0.0166057,-0.42776,,0.0166057,0.0300806
0.0166063,-0.741103,,0.0166063,0.046961
