X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0024353,0.797953,,0.0024353,1.53483
0.00244155,0.506561,,0.00244155,1.50396
0.0024478,0.13805,,0.0024478,1.24436
0.00245405,-0.251477,,0.00245405,0.795624
0.0024603,-0.60272,,0.0024603,0.225969
0.00246655,-0.862204,,0.00246655,-0.378034
0.0024728,-0.990425,,0.0024728,-0.924454
0.00247905,-0.967863,,0.00247905,-1.33005
0.0024853,-0.797953,,0.0024853,-1.53292
0.00249155,-0.506561,,0.00249155,-1.50216
0.0024978,-0.13805,,0.0024978,-1.24257
0.00250405,0.251477,,0.00250405,-0.793709
0.0025103,0.60272,,0.0025103,-0.223878
0.00251655,0.862204,,0.00251655,0.380251
0.0025228,0.990425,,0.0025228,0.926675
0.00252905,0.967863,,0.00252905,1.33214
0.0025353,0.797953,,0.0025353,1.53483
0.00254155,0.506561,,0.00254155,1.50396
0.0025478,0.13805,,0.0025478,1.24436
0.00255405,-0.251477,,0.00255405,0.795625
0.0025603,-0.60272,,0.0025603,0.225969
0.00256655,-0.862204,,0.00256655,-0.378034
0.0025728,-0.990425,,0.0025728,-0.924454
0.00257905,-0.967863,,0.00257905,-1.33005
0.0025853,-0.797953,,0.0025853,-1.53292
0.00259155,-0.506561,,0.00259155,-1.50216
0.0025978,-0.13805,,0.0025978,-1.24257
0.00260405,0.251477,,0.00260405,-0.793709
0.0026103,0.60272,,0.0026103,-0.223878
0.00261655,0.862204,,0.00261655,0.380251
0.0026228,0.990425,,0.0026228,0.926675
0.00262905,0.967863,,0.00262905,1.33214
0.0026353,0.797953,,0.0026353,1.53483
0.00264155,0.506561,,0.00264155,1.50396
0.0026478,0.13805,,0.0026478,1.24436
0.00265405,-0.251477,,0.00265405,0.795625
0.0026603,-0.60272,,0.0026603,0.225969
0.00266655,-0.862204,,0.00266655,-0.378034
0.0026728,-0.990425,,0.0026728,-0.924454
0.00267905,-0.967863,,0.00267905,-1.33005
0.0026853,-0.797953,,0.0026853,-1.53292
0.00269155,-0.506561,,0.00269155,-1.50216
0.0026978,-0.13805,,0.0026978,-1.24257
0.00270405,0.251477,,0.00270405,-0.793709
0.0027103,0.60272,,0.0027103,-0.223878
0.00271655,0.862204,,0.00271655,0.380251
0.0027228,0.990425,,0.0027228,0.926675
0.00272905,0.967863,,0.00272905,1.33214
0.0027353,0.797953,,0.0027353,1.53483
0.00274155,0.506561,,0.00274155,1.50396
0.0027478,0.13805,,0.0027478,1.24436
0.00275405,-0.251477,,0.00275405,0.795625
0.0027603,-0.60272,,0.0027603,0.225969
0.00276655,-0.862204,,0.00276655,-0.378034
0.0027728,-0.990425,,0.0027728,-0.924454
0.00277905,-0.967863,,0.00277905,-1.33005
0.0027853,-0.797953,,0.0027853,-1.53292
0.00279155,-0.506561,,0.00279155,-1.50216
0.0027978,-0.13805,,0.0027978,-1.24257
0.00280405,0.251477,,0.00280405,-0.793709
0.0028103,0.60272,,0.0028103,-0.223878
0.00281655,0.862204,,0.00281655,0.380251
0.0028228,0.990425,,0.0028228,0.926675
0.00282905,0.967863,,0.00282905,1.33214
0.0028353,0.797953,,0.0028353,1.53483
0.00284155,0.506561,,0.00284155,1.50396
0.0028478,0.13805,,0.0028478,1.24436
0.00285405,-0.251477,,0.00285405,0.795625
0.0028603,-0.60272,,0.0028603,0.225969
0.00286655,-0.862204,,0.00286655,-0.378034
0.0028728,-0.990425,,0.0028728,-0.924454
0.00287905,-0.967863,,0.00287905,-1.33005
0.0028853,-0.797953,,0.0028853,-1.53292
0.00289155,-0.506561,,0.00289155,-1.50216
0.0028978,-0.13805,,0.0028978,-1.24257
0.00290405,0.251477,,0.00290405,-0.793709
0.0029103,0.60272,,0.0029103,-0.223878
0.00291655,0.862204,,0.00291655,0.380251
0.0029228,0.990425,,0.0029228,0.926675
0.00292905,0.967863,,0.00292905,1.33214
0.0029353,0.797953,,0.0029353,1.53483
0.00294155,0.506561,,0.00294155,1.50396
0.0029478,0.13805,,0.0029478,1.24436
0.00295405,-0.251477,,0.00295405,0.795625
0.0029603,-0.60272,,0.0029603,0.225969
0.00296655,-0.862204,,0.00296655,-0.378034
0.0029728,-0.990425,,0.0029728,-0.924454
0.00297905,-0.967863,,0.00297905,-1.33005
0.0029853,-0.797953,,0.0029853,-1.53292
0.00299155,-0.506561,,0.00299155,-1.50216
0.0029978,-0.13805,,0.0029978,-1.24257
0.00300405,0.251477,,0.00300405,-0.793709
0.0030103,0.60272,,0.0030103,-0.223878
0.00301655,0.862204,,0.00301655,0.380251
0.0030228,0.990425,,0.0030228,0.926675
0.00302905,0.967863,,0.00302905,1.33214
0.0030353,0.797953,,0.0030353,1.53483
0.00304155,0.506561,,0.00304155,1.50396
0.0030478,0.13805,,0.0030478,1.24436
0.00305405,-0.251477,,0.00305405,0.795625
0.0030603,-0.60272,,0.0030603,0.225969
0.00306655,-0.862204,,0.00306655,-0.378034
0.0030728,-0.990425,,0.0030728,-0.924454
0.00307905,-0.967863,,0.00307905,-1.33005
0.0030853,-0.797953,,0.0030853,-1.53292
0.00309155,-0.506561,,0.00309155,-1.50216
0.0030978,-0.13805,,0.0030978,-1.24257
0.00310405,0.251477,,0.00310405,-0.793709
0.0031103,0.60272,,0.0031103,-0.223878
0.00311655,0.862204,,0.00311655,0.380251
0.0031228,0.990425,,0.0031228,0.926675
0.00312905,0.967863,,0.00312905,1.33214
0.0031353,0.797953,,0.0031353,1.53483
0.00314155,0.506561,,0.00314155,1.50396
0.0031478,0.13805,,0.0031478,1.24436
0.00315405,-0.251477,,0.00315405,0.795625
0.0031603,-0.60272,,0.0031603,0.225969
0.00316655,-0.862204,,0.00316655,-0.378034
0.0031728,-0.990425,,0.0031728,-0.924454
0.00317905,-0.967863,,0.00317905,-1.33005
0.0031853,-0.797953,,0.0031853,-1.53292
0.00319155,-0.506561,,0.00319155,-1.50216
0.0031978,-0.13805,,0.0031978,-1.24257
0.00320405,0.251477,,0.00320405,-0.793709
0.0032103,0.60272,,0.0032103,-0.223878
0.00321655,0.862204,,0.00321655,0.380251
0.0032228,0.990425,,0.0032228,0.926675
0.00322905,0.967863,,0.00322905,1.33214
0.0032353,0.797953,,0.0032353,1.53483
0.00324155,0.506561,,0.00324155,1.50396
0.0032478,0.13805,,0.0032478,1.24436
0.00325405,-0.251477,,0.00325405,0.795625
0.0032603,-0.60272,,0.0032603,0.225969
0.00326655,-0.862204,,0.00326655,-0.378034
0.0032728,-0.990425,,0.0032728,-0.924454
0.00327905,-0.967863,,0.00327905,-1.33005
0.0032853,-0.797953,,0.0032853,-1.53292
0.00329155,-0.506561,,0.00329155,-1.50216
0.0032978,-0.13805,,0.0032978,-1.24257
0.00330405,0.251477,,0.00330405,-0.793709
0.0033103,0.60272,,0.0033103,-0.223878
0.00331655,0.862204,,0.00331655,0.380251
0.0033228,0.990425,,0.0033228,0.926675
0.00332905,0.967863,,0.00332905,1.33214
0.0033353,0.797953,,0.0033353,1.53483
0.00334155,0.506561,,0.00334155,1.50396
0.0033478,0.13805,,0.0033478,1.24436
0.00335405,-0.251477,,0.00335405,0.795625
0.0033603,-0.60272,,0.0033603,0.225969
0.00336655,-0.862204,,0.00336655,-0.378034
0.0033728,-0.990425,,0.0033728,-0.924454
0.00337905,-0.967863,,0.00337905,-1.33005
0.0033853,-0.797953,,0.0033853,-1.53292
0.00339155,-0.506561,,0.00339155,-1.50216
0.0033978,-0.13805,,0.0033978,-1.24257
0.00340405,0.251477,,0.00340405,-0.793709
0.0034103,0.60272,,0.0034103,-0.223878
0.00341655,0.862204,,0.00341655,0.380251
0.0034228,0.990425,,0.0034228,0.926675
0.00342905,0.967863,,0.00342905,1.33214
0.0034353,0.797953,,0.0034353,1.53483
0.00344155,0.506561,,0.00344155,1.50396
0.0034478,0.13805,,0.0034478,1.24436
0.00345405,-0.251477,,0.00345405,0.795625
0.0034603,-0.60272,,0.0034603,0.225969
0.00346655,-0.862204,,0.00346655,-0.378034
0.0034728,-0.990425,,0.0034728,-0.924454
0.00347905,-0.967863,,0.00347905,-1.33005
0.0034853,-0.797953,,0.0034853,-1.53292
0.00349155,-0.506561,,0.00349155,-1.50216
